date,avgTemperatureC,rainfallMM,condition,humidityPercent
2022-01-01,28.9,0.0,Sunny,80
2022-01-02,29.6,0.0,Partly Cloudy,80
2022-01-03,28.6,13.9,Rainy,87
2022-01-04,27.6,0.0,Partly Cloudy,83
2022-01-05,24.5,4.0,Cloudy,82
2022-01-06,24.5,29.1,Rainy,82
2022-01-07,26.4,0.0,Partly Cloudy,74
2022-01-08,26.9,0.0,Partly Cloudy,76
2022-01-09,27.8,5.6,Partly Cloudy,80
2022-01-10,29.1,0.0,Cloudy,79
2022-01-11,26.8,1.9,Rainy,91
2022-01-12,26.9,0.0,Sunny,80
2022-01-13,28.1,0.0,Sunny,75
2022-01-14,26.8,0.0,Sunny,74
2022-01-15,28.1,0.0,Cloudy,76
2022-01-16,28.6,0.0,Sunny,73
2022-01-17,28.5,4.6,Cloudy,89
2022-01-18,28.3,6.1,Partly Cloudy,86
2022-01-19,25.6,17.2,Rainy,84
2022-01-20,28.4,0.0,Sunny,82
2022-01-21,28.1,0.0,Partly Cloudy,83
2022-01-22,27.6,1.1,Rainy,97
2022-01-23,29.1,0.0,Sunny,75
2022-01-24,26.9,0.0,Cloudy,83
2022-01-25,28.6,0.0,Partly Cloudy,79
2022-01-26,26.8,0.0,Cloudy,89
2022-01-27,27.6,0.0,Partly Cloudy,84
2022-01-28,28.9,0.0,Sunny,73
2022-01-29,28.1,11.4,Partly Cloudy,74
2022-01-30,28.5,2.9,Partly Cloudy,80
2022-01-31,28.1,0.0,Sunny,72
2022-02-01,27.6,11.5,Cloudy,92
2022-02-02,26.5,9.8,Rainy,78
2022-02-03,29.4,0.0,Sunny,74
2022-02-04,29.6,0.0,Sunny,69
2022-02-05,30.8,0.0,Sunny,78
2022-02-06,29.8,0.0,Partly Cloudy,72
2022-02-07,28.8,6.4,Rainy,83
2022-02-08,28.9,0.0,Sunny,67
2022-02-09,28.6,0.0,Sunny,77
2022-02-10,26.7,7.7,Rainy,84
2022-02-11,28.4,0.0,Sunny,76
2022-02-12,29.2,0.0,Sunny,75
2022-02-13,29.4,0.0,Partly Cloudy,73
2022-02-14,27.2,12.2,Cloudy,84
2022-02-15,28.2,12.6,Partly Cloudy,81
2022-02-16,28.1,0.0,Cloudy,85
2022-02-17,25.8,18.8,Rainy,83
2022-02-18,27.1,0.0,Cloudy,87
2022-02-19,28.6,0.0,Partly Cloudy,89
2022-02-20,27.9,0.0,Partly Cloudy,75
2022-02-21,26.9,0.0,Cloudy,84
2022-02-22,26.7,32.0,Rainy,88
2022-02-23,29.4,0.0,Sunny,78
2022-02-24,28.1,0.0,Sunny,77
2022-02-25,26.7,9.4,Rainy,90
2022-02-26,24.5,19.8,Rainy,85
2022-02-27,26.6,0.0,Sunny,75
2022-02-28,25.8,10.5,Rainy,88
2022-03-01,27.1,0.0,Partly Cloudy,83
2022-03-02,29.1,4.7,Cloudy,77
2022-03-03,29.6,0.0,Cloudy,86
2022-03-04,30.4,21.5,Rainy,94
2022-03-05,28.5,5.4,Rainy,92
2022-03-06,28.1,0.0,Cloudy,84
2022-03-07,29.9,0.0,Sunny,79
2022-03-08,26.2,10.5,Rainy,94
2022-03-09,26.1,5.6,Cloudy,87
2022-03-10,25.1,55.6,Thunderstorm,89
2022-03-11,26.9,0.0,Sunny,76
2022-03-12,28.8,0.0,Sunny,72
2022-03-13,29.4,0.0,Partly Cloudy,85
2022-03-14,28.1,0.0,Partly Cloudy,78
2022-03-15,28.4,3.6,Cloudy,86
2022-03-16,29.1,3.0,Rainy,94
2022-03-17,27.7,14.3,Rainy,85
2022-03-18,28.9,0.0,Partly Cloudy,80
2022-03-19,27.1,0.0,Sunny,74
2022-03-20,28.6,0.0,Sunny,68
2022-03-21,29.2,0.0,Sunny,83
2022-03-22,29.1,0.0,Sunny,76
2022-03-23,26.9,6.2,Rainy,89
2022-03-24,26.5,17.0,Rainy,89
2022-03-25,28.6,0.0,Sunny,86
2022-03-26,27.8,0.0,Sunny,78
2022-03-27,29.2,0.0,Sunny,74
2022-03-28,27.8,13.3,Cloudy,88
2022-03-29,29.1,0.0,Sunny,77
2022-03-30,30.4,0.0,Partly Cloudy,76
2022-03-31,29.1,0.0,Cloudy,87
2022-04-01,29.6,0.0,Partly Cloudy,89
2022-04-02,27.9,10.5,Rainy,91
2022-04-03,30.9,0.0,Sunny,82
2022-04-04,31.4,0.0,Partly Cloudy,86
2022-04-05,28.7,13.5,Rainy,91
2022-04-06,29.9,0.0,Sunny,87
2022-04-07,26.8,23.5,Rainy,96
2022-04-08,29.9,0.0,Sunny,78
2022-04-09,27.5,27.3,Rainy,89
2022-04-10,28.4,0.0,Partly Cloudy,82
2022-04-11,27.6,15.2,Rainy,88
2022-04-12,27.2,15.0,Rainy,90
2022-04-13,26.9,0.0,Partly Cloudy,81
2022-04-14,26.9,24.8,Rainy,97
2022-04-15,29.1,0.0,Sunny,74
2022-04-16,28.9,0.0,Cloudy,88
2022-04-17,29.1,0.0,Partly Cloudy,90
2022-04-18,28.0,9.1,Rainy,94
2022-04-19,28.6,6.7,Cloudy,87
2022-04-20,30.1,0.0,Sunny,84
2022-04-21,30.1,25.1,Rainy,88
2022-04-22,29.5,6.4,Rainy,88
2022-04-23,27.5,6.8,Cloudy,84
2022-04-24,27.5,26.7,Rainy,98
2022-04-25,28.1,0.0,Partly Cloudy,85
2022-04-26,28.3,8.6,Cloudy,91
2022-04-27,28.1,0.0,Cloudy,86
2022-04-28,29.9,0.0,Sunny,76
2022-04-29,29.9,0.0,Partly Cloudy,82
2022-04-30,29.4,0.0,Cloudy,86
2022-05-01,27.7,5.7,Rainy,96
2022-05-02,26.2,7.7,Rainy,95
2022-05-03,26.8,14.8,Rainy,98
2022-05-04,28.2,30.5,Rainy,93
2022-05-05,28.0,24.2,Rainy,90
2022-05-06,28.9,0.0,Sunny,76
2022-05-07,25.6,46.6,Rainy,96
2022-05-08,28.7,3.6,Partly Cloudy,80
2022-05-09,27.2,2.7,Rainy,93
2022-05-10,25.8,18.8,Rainy,96
2022-05-11,26.0,13.3,Cloudy,84
2022-05-12,26.0,9.2,Rainy,96
2022-05-13,25.4,9.0,Rainy,89
2022-05-14,27.1,0.0,Cloudy,89
2022-05-15,27.8,0.0,Partly Cloudy,85
2022-05-16,28.6,0.0,Partly Cloudy,89
2022-05-17,26.4,2.2,Rainy,92
2022-05-18,27.8,11.5,Partly Cloudy,92
2022-05-19,27.3,34.3,Rainy,98
2022-05-20,26.0,16.5,Rainy,87
2022-05-21,26.4,0.0,Partly Cloudy,83
2022-05-22,28.4,0.0,Sunny,84
2022-05-23,28.9,0.0,Cloudy,89
2022-05-24,27.3,6.1,Rainy,96
2022-05-25,25.9,29.4,Rainy,88
2022-05-26,27.9,0.0,Sunny,83
2022-05-27,27.8,0.0,Partly Cloudy,83
2022-05-28,26.1,17.4,Rainy,90
2022-05-29,26.9,8.8,Cloudy,85
2022-05-30,27.2,15.2,Rainy,90
2022-05-31,28.2,8.2,Partly Cloudy,88
2022-06-01,26.2,3.3,Rainy,85
2022-06-02,27.4,0.0,Partly Cloudy,81
2022-06-03,25.5,4.6,Rainy,92
2022-06-04,25.8,9.0,Cloudy,84
2022-06-05,26.6,5.0,Cloudy,91
2022-06-06,28.9,0.0,Sunny,70
2022-06-07,26.4,16.4,Rainy,92
2022-06-08,25.2,31.1,Rainy,92
2022-06-09,25.4,8.3,Rainy,91
2022-06-10,25.1,15.4,Rainy,91
2022-06-11,26.0,32.0,Rainy,91
2022-06-12,26.1,2.7,Partly Cloudy,80
2022-06-13,25.2,15.9,Rainy,98
2022-06-14,26.6,0.0,Cloudy,79
2022-06-15,27.9,0.0,Partly Cloudy,79
2022-06-16,27.0,20.3,Rainy,91
2022-06-17,29.1,0.0,Partly Cloudy,85
2022-06-18,28.1,0.0,Sunny,83
2022-06-19,25.8,17.9,Rainy,91
2022-06-20,26.0,9.8,Rainy,90
2022-06-21,24.6,22.4,Rainy,94
2022-06-22,26.9,0.0,Sunny,85
2022-06-23,26.9,4.5,Rainy,89
2022-06-24,25.4,11.7,Rainy,95
2022-06-25,24.8,13.6,Rainy,98
2022-06-26,27.3,14.6,Partly Cloudy,86
2022-06-27,25.7,35.9,Rainy,98
2022-06-28,27.6,0.0,Partly Cloudy,81
2022-06-29,27.8,0.0,Partly Cloudy,89
2022-06-30,25.9,8.7,Rainy,92
2022-07-01,24.6,12.9,Cloudy,89
2022-07-02,24.0,46.2,Rainy,89
