date,sku,unitsSold,unitPriceLKR,promotionFlag,promotionType,customerCount
2022-01-01,LK-RIC-XAJI0,25,268.96,False,,11
2022-01-01,LK-RIC-ZMF8M,8,1262.66,False,,3
2022-01-01,LK-RIC-ZBIKC,14,216.77,False,,6
2022-01-01,LK-RIC-UY41I,10,670.79,True,BOGOF,4
2022-01-01,LK-RIC-6OH9S,11,247.09,False,,4
2022-01-01,LK-RIC-MKFAZ,7,207.42,False,,3
2022-01-01,LK-RIC-C58DR,18,323.57,False,,7
2022-01-01,LK-RIC-EIMVI,11,270.08,False,,4
2022-01-01,LK-RIC-3GDPP,5,864.06,False,,2
2022-01-01,LK-RIC-B9487,6,237.63,False,,3
2022-01-01,LK-RIC-BCXUL,18,224.06,False,,9
2022-01-01,LK-RIC-5NF4Z,11,330.35,False,,4
2022-01-01,LK-RIC-R64DP,10,689.62,True,BOGOF,4
2022-01-01,LK-RIC-L6246,9,327.41,False,,4
2022-01-01,LK-RIC-3J2D5,13,1334.14,False,,4
2022-01-01,LK-RIC-7E8G8,28,308.11,True,Discount,12
2022-01-01,LK-RIC-0HP87,17,1346.76,False,,10
2022-01-01,LK-RIC-KPUXQ,19,233.63,True,BOGOF,12
2022-01-01,LK-RIC-4COWG,16,153.46,True,Flash,9
2022-01-01,LK-RIC-TUL1P,14,324.16,False,,6
2022-01-01,LK-RIC-6CFNF,28,109.19,True,Near-Expiry,15
2022-01-01,LK-RIC-0TVHH,14,196.14,False,,5
2022-01-01,LK-RIC-JLQM5,9,214.14,False,,4
2022-01-01,LK-RIC-E8QJN,13,275.6,False,,6
2022-01-01,LK-RIC-4VE92,18,314.82,False,,11
2022-01-01,LK-RIC-3TRP0,16,286.54,False,,7
2022-01-01,LK-RIC-ZJA8D,10,1081.81,False,,3
2022-01-01,LK-RIC-LZJJE,9,299.93,False,,3
2022-01-01,LK-RIC-ZEBBK,13,1114.04,False,,8
2022-01-01,LK-RIC-FUK9E,5,233.14,False,,2
2022-01-01,LK-RIC-HXFGC,6,303.28,False,,2
2022-01-01,LK-RIC-EIFJF,15,301.91,False,,5
2022-01-01,LK-RIC-VAIY4,11,334.9,False,,5
2022-01-01,LK-RIC-LYK83,19,282.9,True,Discount,7
2022-01-01,LK-RIC-PBJEK,10,268.85,False,,5
2022-01-01,LK-RIC-49ITN,12,305.29,False,,6
2022-01-01,LK-RIC-1N759,12,234.32,False,,5
2022-01-01,LK-RIC-SQ0OX,20,275.85,True,Discount,7
2022-01-01,LK-RIC-0PDW5,39,992.75,True,Discount,23
2022-01-01,LK-RIC-I6FQJ,11,347.88,False,,4
2022-01-01,LK-RIC-IUU9K,5,1317.2,False,,3
2022-01-01,LK-RIC-BNE6L,16,319.23,False,,7
2022-01-01,LK-RIC-0982N,14,1121.81,False,,6
2022-01-01,LK-RIC-XWQZX,11,639.42,False,,4
2022-01-01,LK-DRY-4W7KY,11,319.55,False,,4
2022-01-01,LK-DRY-92H3T,8,418.15,False,,4
2022-01-01,LK-DRY-AJEPE,8,213.52,False,,4
2022-01-01,LK-DRY-PDZP6,19,350.63,False,,13
2022-01-01,LK-DRY-X1ZHQ,12,245.73,False,,7
2022-01-01,LK-DRY-NEC8U,17,95.09,False,,10
2022-01-01,LK-DRY-U3493,5,171.82,False,,2
2022-01-01,LK-DRY-TNQFL,17,232.67,False,,9
2022-01-01,LK-DRY-DYVSL,18,85.55,False,,6
2022-01-01,LK-DRY-43C5B,13,180.21,False,,5
2022-01-01,LK-DRY-SOLML,15,112.21,True,Flash,5
2022-01-01,LK-DRY-G1R11,13,62.81,False,,4
2022-01-01,LK-DRY-3C54W,13,99.53,False,,6
2022-01-01,LK-DRY-XBZ9S,7,88.82,False,,5
2022-01-01,LK-DRY-5MUFM,17,141.87,False,,11
2022-01-01,LK-DRY-GH8RI,6,172.0,False,,2
2022-01-01,LK-DRY-POYIP,13,142.49,False,,5
2022-01-01,LK-DRY-EJX5T,5,157.57,False,,2
2022-01-01,LK-DRY-NB74X,20,60.59,False,,9
2022-01-01,LK-DRY-P2QD6,22,1529.18,False,,13
2022-01-01,LK-DRY-2SA5B,27,416.14,False,,17
2022-01-01,LK-DRY-9RGEZ,12,305.78,False,,7
2022-01-01,LK-DRY-LEN60,20,962.12,False,,7
2022-01-01,LK-DRY-VPYMB,31,500.27,True,BOGOF,20
2022-01-01,LK-DRY-8BFQN,29,326.12,False,,19
2022-01-01,LK-DRY-HWY9H,13,371.65,False,,6
2022-01-01,LK-DRY-2ATN2,25,232.74,False,,10
2022-01-01,LK-DRY-52XG8,14,467.25,False,,5
2022-01-01,LK-DRY-KTSG7,11,173.87,False,,6
2022-01-01,LK-DRY-LQJID,12,210.15,False,,5
2022-01-01,LK-DRY-HMBR5,16,355.17,False,,6
2022-01-01,LK-DRY-K9YE9,10,135.01,False,,4
2022-01-01,LK-DRY-7LOW4,13,251.06,False,,8
2022-01-01,LK-DRY-R821U,5,63.14,False,,3
2022-01-01,LK-DRY-1750C,17,97.92,False,,6
2022-01-01,LK-DRY-VGIUI,16,93.27,False,,8
2022-01-01,LK-DRY-C7X0H,10,170.86,False,,5
2022-01-01,LK-DRY-AT7O7,12,49.63,False,,5
2022-01-01,LK-DRY-G05KB,15,150.98,False,,7
2022-01-01,LK-DRY-JG02U,9,142.93,False,,4
2022-01-01,LK-DRY-K0AXY,9,134.42,False,,4
2022-01-01,LK-DRY-OTQTX,9,172.26,False,,5
2022-01-01,LK-DRY-EHUDS,15,146.67,False,,5
