date,sku,UnitsSold,UnitPriceLKR,PromotionFlag,PromotionType,StockoutFlag,DemandExceededSupply,LostSalesQty
2024-01-01,LK-RIC-XAJI0,24,286.09,False,,0,0,0
2024-01-01,LK-RIC-ZMF8M,14,1352.98,False,,0,0,0
2024-01-01,LK-RIC-ZBIKC,14,210.66,True,Discount,0,0,0
2024-01-01,LK-RIC-UY41I,8,1484.97,False,,0,0,0
2024-01-01,LK-RIC-6OH9S,13,266.96,False,,0,0,0
2024-01-01,LK-RIC-MKFAZ,6,227.62,False,,0,0,0
2024-01-01,LK-RIC-C58DR,7,356.56,False,,0,0,0
2024-01-01,LK-RIC-EIMVI,8,296.89,False,,0,0,0
2024-01-01,LK-RIC-3GDPP,16,940.54,False,,0,0,0
2024-01-01,LK-RIC-B9487,6,256.19,False,,0,0,0
2024-01-01,LK-RIC-RGHC0,7,198.4,False,,0,0,0
2024-01-01,LK-RIC-BCXUL,8,247.62,False,,0,0,0
2024-01-01,LK-RIC-5NF4Z,5,360.35,False,,0,0,0
2024-01-01,LK-RIC-L6246,12,356.9,False,,0,0,0
2024-01-01,LK-RIC-3J2D5,14,1493.24,False,,1,1,2
2024-01-01,LK-RIC-7E8G8,3,380.44,False,,1,1,7
2024-01-01,LK-RIC-0HP87,8,1515.18,False,,0,0,0
2024-01-01,LK-RIC-KPUXQ,7,516.52,False,,0,0,0
2024-01-01,LK-RIC-4COWG,7,229.19,False,,1,1,3
2024-01-01,LK-RIC-TUL1P,4,353.28,False,,1,1,8
2024-01-01,LK-RIC-6CFNF,6,235.6,False,,0,0,0
2024-01-01,LK-RIC-0TVHH,11,212.63,False,,0,0,0
2024-01-01,LK-RIC-JLQM5,9,237.16,False,,0,0,0
2024-01-01,LK-RIC-E8QJN,22,308.34,False,,0,0,0
2024-01-01,LK-RIC-4VE92,9,342.84,False,,0,0,0
2024-01-01,LK-RIC-3TRP0,18,315.51,False,,0,0,0
2024-01-01,LK-RIC-ZJA8D,16,1172.9,False,,0,0,0
2024-01-01,LK-RIC-LZJJE,19,266.78,True,Discount,0,0,0
2024-01-01,LK-RIC-FUK9E,12,253.29,False,,0,0,0
2024-01-01,LK-RIC-HXFGC,8,328.22,False,,0,0,0
2024-01-01,LK-RIC-EIFJF,6,318.73,False,,0,0,0
2024-01-01,LK-RIC-VAIY4,12,373.14,False,,0,0,0
2024-01-01,LK-RIC-LYK83,7,347.1,False,,0,0,0
2024-01-01,LK-RIC-49ITN,14,336.67,False,,0,0,0
2024-01-01,LK-RIC-1N759,14,254.94,False,,1,1,1
2024-01-01,LK-RIC-SQ0OX,8,354.93,False,,0,0,0
2024-01-01,LK-RIC-0PDW5,12,1252.54,False,,0,0,0
2024-01-01,LK-RIC-I6FQJ,13,387.22,False,,0,0,0
2024-01-01,LK-RIC-IUU9K,15,713.74,True,BOGOF,0,0,0
2024-01-01,LK-RIC-BNE6L,13,356.22,False,,0,0,0
2024-01-01,LK-RIC-0982N,12,1017.43,True,Bundle,0,0,0
2024-01-01,LK-RIC-XWQZX,16,694.73,False,,0,0,0
2024-01-01,LK-DRY-4W7KY,5,327.72,False,,0,0,0
2024-01-01,LK-DRY-92H3T,18,438.93,False,,0,0,0
2024-01-01,LK-DRY-AJEPE,18,231.66,False,,0,0,0
2024-01-01,LK-DRY-PDZP6,7,321.8,True,Discount,0,0,0
2024-01-01,LK-DRY-X1ZHQ,9,258.07,False,,0,0,0
2024-01-01,LK-DRY-NEC8U,14,100.92,False,,0,0,0
2024-01-01,LK-DRY-U3493,10,178.27,False,,0,0,0
2024-01-01,LK-DRY-TNQFL,20,245.46,False,,0,0,0
2024-01-01,LK-DRY-DYVSL,8,91.38,False,,0,0,0
2024-01-01,LK-DRY-43C5B,8,189.14,False,,0,0,0
2024-01-01,LK-DRY-SOLML,13,157.22,False,,0,0,0
2024-01-01,LK-DRY-G1R11,8,67.61,False,,0,0,0
2024-01-01,LK-DRY-3C54W,7,104.39,False,,0,0,0
2024-01-01,LK-DRY-XBZ9S,14,93.32,False,,0,0,0
2024-01-01,LK-DRY-5MUFM,9,146.46,False,,0,0,0
2024-01-01,LK-DRY-GH8RI,22,156.25,True,Discount,0,0,0
2024-01-01,LK-DRY-POYIP,14,149.08,False,,0,0,0
2024-01-01,LK-DRY-EJX5T,12,170.62,False,,0,0,0
2024-01-01,LK-DRY-P2QD6,21,1583.42,False,,0,0,0
2024-01-01,LK-DRY-2SA5B,17,433.39,False,,0,0,0
2024-01-01,LK-DRY-9RGEZ,11,324.92,False,,0,0,0
2024-01-01,LK-DRY-LEN60,26,1033.6,False,,0,0,0
2024-01-01,LK-DRY-VPYMB,4,1044.72,False,,0,0,0
2024-01-01,LK-DRY-8BFQN,15,334.73,False,,0,0,0
2024-01-01,LK-DRY-HWY9H,24,389.58,False,,0,0,0
2024-01-01,LK-DRY-52XG8,10,496.12,False,,0,0,0
2024-01-01,LK-DRY-KTSG7,11,180.21,False,,0,0,0
2024-01-01,LK-DRY-XKI3O,10,267.73,False,,0,0,0
2024-01-01,LK-DRY-LQJID,14,221.75,False,,0,0,0
2024-01-01,LK-DRY-K9YE9,13,146.73,False,,0,0,0
2024-01-01,LK-DRY-7LOW4,17,273.02,False,,0,0,0
2024-01-01,LK-DRY-R821U,17,66.27,False,,0,0,0
2024-01-01,LK-DRY-1750C,15,101.51,False,,0,0,0
2024-01-01,LK-DRY-VGIUI,8,99.61,False,,0,0,0
2024-01-01,LK-DRY-C7X0H,11,182.85,False,,0,0,0
2024-01-01,LK-DRY-AT7O7,17,52.22,False,,0,0,0
2024-01-01,LK-DRY-G05KB,4,160.95,False,,0,0,0
2024-01-01,LK-DRY-JG02U,14,149.0,False,,0,0,0
2024-01-01,LK-DRY-K0AXY,12,145.83,False,,0,0,0
2024-01-01,LK-DRY-OTQTX,6,179.24,False,,0,0,0
2024-01-01,LK-DRY-EHUDS,7,150.8,False,,0,0,0
2024-01-01,LK-DRY-T0IAA,15,135.29,False,,0,0,0
2024-01-01,LK-DRY-HDBVZ,12,695.91,False,,0,0,0
2024-01-01,LK-DRY-59SOJ,13,1037.78,False,,0,0,0
2024-01-01,LK-DRY-4FQCO,22,383.52,False,,0,0,0
2024-01-01,LK-DRY-G10UR,11,1021.63,False,,0,0,0
2024-01-01,LK-BEV-SRD9Q,4,164.75,False,,0,0,0
2024-01-01,LK-BEV-O4IZA,5,326.25,False,,0,0,0
2024-01-01,LK-BEV-P7G7S,2,520.57,False,,0,0,0
2024-01-01,LK-BEV-DNTCA,2,193.85,False,,0,0,0
2024-01-01,LK-BEV-4M18O,5,359.1,False,,0,0,0
2024-01-01,LK-BEV-ZW0LD,2,541.79,False,,0,0,0
2024-01-01,LK-BEV-AO20U,4,494.84,False,,0,0,0
2024-01-01,LK-BEV-WVHDK,5,169.57,False,,0,0,0
2024-01-01,LK-BEV-W82LK,3,301.45,False,,0,0,0
2024-01-01,LK-BEV-RWIXZ,6,530.26,False,,0,0,0
2024-01-01,LK-BEV-1XMXB,4,240.33,False,,0,0,0
2024-01-01,LK-BEV-F9RK7,5,441.1,False,,0,0,0
2024-01-01,LK-BEV-4XYF9,3,473.65,False,,0,0,0
2024-01-01,LK-BEV-PAHKZ,5,437.9,False,,0,0,0
2024-01-01,LK-BEV-4W3ZK,6,369.09,False,,0,0,0
2024-01-01,LK-BEV-77GGK,7,371.62,False,,0,0,0
2024-01-01,LK-BEV-GU2HB,3,445.75,False,,0,0,0
2024-01-01,LK-BEV-TVG9K,3,157.98,False,,0,0,0
2024-01-01,LK-BEV-JOQW5,6,267.96,False,,0,0,0
2024-01-01,LK-BEV-RLKTE,7,133.05,False,,0,0,0
2024-01-01,LK-BEV-4DD1V,5,275.37,False,,0,0,0
2024-01-01,LK-BEV-S0KB6,5,661.22,False,,0,0,0
2024-01-01,LK-BEV-TOW4Y,5,969.97,False,,0,0,0
2024-01-01,LK-BEV-8S2ZG,3,382.8,False,,0,0,0
2024-01-01,LK-BEV-F16YE,4,669.91,False,,0,0,0
2024-01-01,LK-BEV-0T2F7,4,178.17,False,,0,0,0
2024-01-01,LK-BEV-6SZN9,2,281.7,False,,0,0,0
2024-01-01,LK-BEV-LJCH2,4,352.05,False,,0,0,0
2024-01-01,LK-BEV-3ZB4L,2,324.92,False,,0,0,0
2024-01-01,LK-BEV-C2IHO,2,270.45,False,,0,0,0
