date,sku,openingStock,receivedQty,soldQty,discardedQty,closingStock,orderPlacedQty,supplierLeadTimeDays,oldestReceiptDate,newestReceiptDate,estimatedOldStockQty,oldestAgeDays,oldStockShare,ageRiskRatio,avgDailySales7d,avgDailySales30d,salesStdDev,demandTrend,daysOfStockRemaining,stockoutRisk,reorderUrgency,expiryRiskScore,daysToExpiry,nearExpiryFlag
2024-01-01,LK-RIC-XAJI0,90,23,17,0,96,23,3,2023-12-28,2024-01-01,4,4,0.042,0.01,21.57,20.6,8.94,0.047,4.7,0.7,High,0.02,379,False
2024-01-01,LK-RIC-ZMF8M,98,0,13,0,85,23,3,2023-12-27,2023-12-31,16,5,0.188,0.009,11.43,10.13,4.86,0.128,8.4,0.4,Low,0.02,562,False
2024-01-01,LK-RIC-ZBIKC,24,22,11,0,35,11,2,2023-12-30,2024-01-01,2,2,0.057,0.008,16.0,11.97,7.8,0.337,2.9,0.7,High,0.02,251,False
2024-01-01,LK-RIC-UY41I,61,0,6,0,55,14,3,2023-12-28,2023-12-31,13,4,0.236,0.006,10.29,10.03,6.96,0.025,5.5,0.4,Medium,0.02,645,False
2024-01-01,LK-RIC-6OH9S,128,0,13,0,115,0,0,2023-12-26,2023-12-31,23,6,0.2,0.008,8.86,11.7,7.6,-0.243,9.8,0.4,Low,0.02,715,False
2024-01-01,LK-RIC-MKFAZ,108,0,9,0,99,16,3,2023-12-22,2023-12-30,3,10,0.03,0.014,10.29,11.13,6.07,-0.076,8.9,0.4,Low,0.02,713,False
2024-01-01,LK-RIC-C58DR,46,0,4,0,42,12,3,2023-12-28,2023-12-31,6,4,0.143,0.01,9.14,11.63,6.96,-0.214,3.6,0.7,High,0.02,392,False
2024-01-01,LK-RIC-EIMVI,75,0,9,0,66,23,3,2023-12-25,2023-12-29,20,7,0.303,0.01,11.86,10.7,6.63,0.108,6.2,0.4,Medium,0.02,670,False
2024-01-01,LK-RIC-3GDPP,46,14,9,0,51,14,4,2023-12-25,2024-01-01,9,7,0.176,0.011,4.71,4.87,2.55,-0.031,10.5,0.2,Low,0.02,605,False
2024-01-01,LK-RIC-B9487,30,30,14,0,46,15,3,2023-12-30,2024-01-01,1,2,0.022,0.004,17.57,14.37,8.3,0.223,3.2,0.7,High,0.02,449,False
2024-01-01,LK-RIC-RGHC0,67,0,20,0,47,8,3,2023-12-26,2023-12-31,7,6,0.149,0.016,4.86,7.3,5.89,-0.335,6.4,0.4,Medium,0.02,364,False
2024-01-01,LK-RIC-BCXUL,67,0,6,0,61,0,0,2023-12-24,2023-12-30,1,8,0.016,0.031,9.29,8.67,4.46,0.071,7.0,0.4,Medium,0.02,246,False
2024-01-01,LK-RIC-5NF4Z,53,15,8,0,60,15,3,2023-12-27,2024-01-01,15,5,0.25,0.015,8.29,7.4,4.01,0.12,8.1,0.4,Low,0.02,334,False
2024-01-01,LK-RIC-R64DP,40,10,8,0,42,10,2,2023-12-27,2024-01-01,2,5,0.048,0.017,7.43,5.33,3.24,0.393,7.9,0.4,Low,0.02,289,False
2024-01-01,LK-RIC-L6246,13,12,4,0,21,6,2,2023-12-28,2024-01-01,3,4,0.143,0.011,5.71,5.63,3.81,0.014,3.7,0.7,High,0.02,357,False
2024-01-01,LK-RIC-3J2D5,113,0,11,0,102,14,2,2023-12-25,2023-12-31,4,7,0.039,0.015,10.71,12.23,6.28,-0.124,8.3,0.4,Low,0.02,458,False
2024-01-01,LK-RIC-7E8G8,32,0,4,0,28,7,2,2023-12-28,2023-12-31,7,4,0.25,0.011,5.71,7.73,6.14,-0.261,3.6,0.7,High,0.02,370,False
2024-01-01,LK-RIC-0HP87,117,0,10,0,107,0,0,2023-12-22,2023-12-28,17,10,0.159,0.027,2.57,8.43,5.46,-0.695,12.7,0.2,Low,0.02,366,False
2024-01-01,LK-RIC-KPUXQ,66,0,6,0,60,0,0,2023-12-27,2023-12-31,15,5,0.25,0.012,9.43,7.37,3.47,0.28,8.1,0.4,Low,0.02,415,False
2024-01-01,LK-RIC-4COWG,10,7,15,0,2,7,4,2024-01-01,2024-01-01,2,0,1.0,0.0,8.43,8.43,2.93,-0.001,0.2,0.9,Critical,0.02,710,False
2024-01-01,LK-RIC-TUL1P,68,0,10,0,58,13,3,2023-12-28,2023-12-31,6,4,0.103,0.006,12.14,10.63,6.42,0.142,5.5,0.4,Medium,0.02,709,False
2024-01-01,LK-RIC-6CFNF,39,18,21,0,36,36,3,2023-12-30,2024-01-01,18,2,0.5,0.01,10.29,6.93,4.21,0.484,5.2,0.4,Medium,0.02,198,False
2024-01-01,LK-RIC-0TVHH,62,0,4,0,58,24,2,2023-12-27,2023-12-31,10,5,0.172,0.009,5.57,5.47,3.78,0.019,10.6,0.2,Low,0.02,578,False
2024-01-01,LK-RIC-JLQM5,48,26,30,0,44,13,3,2023-12-30,2024-01-01,5,2,0.114,0.009,17.14,10.6,8.03,0.617,4.2,0.7,High,0.02,219,False
2024-01-01,LK-RIC-E8QJN,80,24,20,0,84,12,2,2023-12-27,2024-01-01,12,5,0.143,0.009,12.86,10.77,3.51,0.194,7.8,0.4,Low,0.02,559,False
2024-01-01,LK-RIC-4VE92,13,20,22,0,11,20,3,2024-01-01,2024-01-01,11,0,1.0,0.0,19.57,21.6,14.93,-0.094,0.5,0.9,Critical,0.02,550,False
2024-01-01,LK-RIC-3TRP0,0,0,0,0,0,16,2,,,0,0,0.0,0.0,16.0,17.6,7.44,-0.091,0.0,1.0,Critical,0.02,209,False
2024-01-01,LK-RIC-ZJA8D,115,0,8,0,107,0,0,2023-12-27,2023-12-31,11,5,0.103,0.012,12.14,11.83,8.53,0.026,9.0,0.4,Low,0.02,424,False
2024-01-01,LK-RIC-LZJJE,91,0,11,0,80,15,3,2023-12-25,2023-12-31,5,7,0.062,0.01,14.71,12.03,5.68,0.223,6.6,0.4,Medium,0.02,710,False
2024-01-01,LK-RIC-ZEBBK,41,9,20,0,30,9,2,2023-12-30,2024-01-01,3,2,0.1,0.005,12.14,8.27,4.59,0.469,3.6,0.7,High,0.02,436,False
