Date,AvgTemperatureC,MaxTemperatureC,MinTemperatureC,RainfallMM,RainfallIntensity,Condition,HumidityPercent,WindSpeedKmh,IsExtremeWeather
2024-01-01,28.2,31.2,25.3,0.0,,Cloudy,77,9,False
2024-01-02,27.0,29.7,24.4,12.6,Moderate,Cloudy,88,14,False
2024-01-03,26.9,29.5,24.4,15.7,Moderate,Cloudy,85,18,False
2024-01-04,26.4,29.0,23.8,19.5,Moderate,Moderate Rain,88,15,False
2024-01-05,26.6,28.6,24.5,26.9,Heavy,Thunderstorm,92,16,False
2024-01-06,28.1,30.8,25.3,0.0,,Cloudy,78,14,False
2024-01-07,27.8,30.5,25.0,12.9,Moderate,Moderate Rain,77,14,False
2024-01-08,27.8,30.4,25.1,4.2,Light,Partly Cloudy,75,11,False
2024-01-09,27.8,31.4,24.2,0.0,,Clear,82,12,False
2024-01-10,28.0,31.3,24.7,0.0,,Clear,76,12,False
2024-01-11,27.2,30.1,24.4,27.8,Heavy,Heavy Rain,96,17,False
2024-01-12,28.9,31.5,26.2,0.0,,Clear,77,9,False
2024-01-13,28.5,32.1,24.9,0.0,,Partly Cloudy,75,9,False
2024-01-14,27.6,30.9,24.4,5.8,Moderate,Moderate Rain,83,8,False
2024-01-15,28.8,31.5,26.0,15.9,Moderate,Moderate Rain,83,15,False
2024-01-16,27.2,29.8,24.6,36.0,Heavy,Thunderstorm,96,19,False
2024-01-17,28.1,31.2,25.1,0.0,,Clear,74,11,False
2024-01-18,26.9,29.2,24.7,19.5,Moderate,Cloudy,93,13,False
2024-01-19,28.0,31.2,24.8,0.0,,Clear,78,14,False
2024-01-20,28.4,31.7,25.0,0.0,,Clear,87,11,False
2024-01-21,26.4,29.2,23.5,38.4,Heavy,Heavy Rain,90,15,False
2024-01-22,27.9,31.0,24.9,8.4,Moderate,Moderate Rain,76,8,False
2024-01-23,27.9,30.7,25.1,0.0,,Partly Cloudy,80,12,False
2024-01-24,27.2,29.6,24.9,17.7,Moderate,Cloudy,87,16,False
2024-01-25,28.5,31.5,25.5,0.0,,Partly Cloudy,77,13,False
2024-01-26,27.2,28.9,25.6,5.3,Moderate,Cloudy,83,12,False
2024-01-27,28.2,31.9,24.6,0.0,,Partly Cloudy,77,14,False
2024-01-28,28.0,30.4,25.7,0.0,,Partly Cloudy,72,10,False
2024-01-29,26.5,28.7,24.3,25.0,Heavy,Heavy Rain,86,16,False
2024-01-30,27.2,29.6,24.8,0.0,,Partly Cloudy,75,10,False
2024-01-31,27.9,30.6,25.1,0.0,,Clear,77,12,False
2024-02-01,27.1,29.5,24.7,18.6,Moderate,Moderate Rain,85,17,False
2024-02-02,28.7,32.9,24.5,6.6,Moderate,Cloudy,81,13,False
2024-02-03,28.5,31.4,25.6,3.3,Light,Partly Cloudy,76,9,False
2024-02-04,28.4,30.7,26.2,0.0,,Clear,76,15,False
2024-02-05,28.6,31.2,26.0,2.9,Light,Light Rain,80,13,False
2024-02-06,29.6,32.5,26.6,0.0,,Clear,78,17,False
2024-02-07,29.3,32.8,25.9,0.0,,Partly Cloudy,80,11,False
2024-02-08,28.4,31.0,25.7,0.0,,Clear,74,13,False
2024-02-09,29.1,32.0,26.2,0.0,,Partly Cloudy,79,11,False
2024-02-10,28.5,30.1,26.9,0.9,Light,Partly Cloudy,83,13,False
2024-02-11,29.1,30.5,27.8,0.0,,Clear,75,16,False
2024-02-12,28.5,31.3,25.7,0.0,,Partly Cloudy,71,11,False
2024-02-13,28.6,31.6,25.5,0.0,,Clear,79,13,False
2024-02-14,28.1,30.2,26.1,14.2,Moderate,Moderate Rain,90,13,False
2024-02-15,28.3,31.4,25.2,0.0,,Clear,78,12,False
2024-02-16,29.0,31.4,26.6,0.0,,Clear,76,12,False
2024-02-17,29.6,32.1,27.1,11.9,Moderate,Moderate Rain,80,10,False
2024-02-18,29.0,31.9,26.2,0.0,,Cloudy,76,11,False
2024-02-19,28.9,32.1,25.7,2.8,Light,Cloudy,81,13,False
2024-02-20,28.9,31.7,26.2,0.0,,Cloudy,74,9,False
2024-02-21,28.9,31.9,25.9,3.2,Light,Light Rain,76,14,False
2024-02-22,28.8,31.9,25.7,6.4,Moderate,Cloudy,75,12,False
2024-02-23,27.9,30.5,25.2,3.1,Light,Light Rain,84,11,False
2024-02-24,28.4,29.9,26.8,0.0,,Clear,76,9,False
2024-02-25,27.4,29.8,25.0,27.3,Heavy,Heavy Rain,96,13,False
2024-02-26,28.2,30.2,26.3,24.8,Heavy,Heavy Rain,85,14,False
