Date,AvgTemperatureC,RainfallMM,Condition,HumidityPercent
2025-01-01,26.7,24.0,Rainy,89
2025-01-02,28.1,0.0,Partly Cloudy,75
2025-01-03,25.7,24.2,Rainy,89
2025-01-04,24.8,17.7,Rainy,90
2025-01-05,24.9,0.0,Sunny,78
2025-01-06,27.4,0.0,Sunny,67
2025-01-07,27.2,5.5,Cloudy,79
2025-01-08,26.6,0.0,Cloudy,73
2025-01-09,28.9,0.0,Partly Cloudy,85
2025-01-10,25.4,14.5,Rainy,89
2025-01-11,25.4,13.0,Rainy,90
2025-01-12,28.6,0.0,Sunny,80
2025-01-13,28.9,0.0,Partly Cloudy,84
2025-01-14,27.8,0.0,Cloudy,88
2025-01-15,27.8,0.0,Sunny,78
2025-01-16,26.6,35.1,Rainy,91
2025-01-17,28.7,3.9,Partly Cloudy,86
2025-01-18,29.9,0.0,Sunny,75
2025-01-19,27.4,0.0,Cloudy,79
2025-01-20,25.1,9.1,Rainy,82
2025-01-21,26.1,13.5,Cloudy,92
2025-01-22,27.0,3.8,Cloudy,89
2025-01-23,28.9,0.0,Sunny,79
2025-01-24,26.4,0.0,Cloudy,87
2025-01-25,26.1,0.0,Cloudy,78
2025-01-26,27.9,0.0,Sunny,79
2025-01-27,28.6,0.0,Sunny,79
2025-01-28,27.6,0.0,Cloudy,79
2025-01-29,26.1,0.0,Partly Cloudy,74
2025-01-30,27.6,0.0,Sunny,80
2025-01-31,25.6,11.8,Rainy,93
2025-02-01,28.4,0.0,Sunny,67
2025-02-02,27.6,8.2,Rainy,82
2025-02-03,28.4,0.0,Sunny,76
2025-02-04,29.8,0.0,Cloudy,76
2025-02-05,30.6,0.0,Sunny,76
2025-02-06,31.8,0.0,Sunny,80
2025-02-07,29.8,10.2,Cloudy,83
2025-02-08,29.9,0.0,Sunny,70
2025-02-09,30.6,0.0,Partly Cloudy,73
2025-02-10,29.1,0.0,Sunny,78
2025-02-11,29.6,0.0,Sunny,75
2025-02-12,28.6,32.7,Rainy,82
2025-02-13,30.8,0.0,Sunny,80
2025-02-14,30.2,0.0,Partly Cloudy,77
2025-02-15,31.6,0.0,Sunny,77
2025-02-16,30.9,0.0,Partly Cloudy,77
2025-02-17,29.9,0.0,Sunny,82
2025-02-18,29.9,0.0,Partly Cloudy,82
2025-02-19,29.9,0.0,Sunny,65
2025-02-20,28.4,0.0,Cloudy,77
2025-02-21,26.9,35.2,Rainy,96
2025-02-22,27.4,0.0,Partly Cloudy,79
2025-02-23,27.2,0.0,Cloudy,79
2025-02-24,27.8,0.0,Sunny,78
2025-02-25,27.9,0.0,Partly Cloudy,76
2025-02-26,29.1,14.4,Partly Cloudy,79
2025-02-27,28.6,0.0,Sunny,73
2025-02-28,27.8,0.0,Partly Cloudy,72
2025-03-01,28.6,0.0,Sunny,74
2025-03-02,27.1,20.1,Rainy,91
2025-03-03,27.6,6.8,Partly Cloudy,75
2025-03-04,27.9,0.0,Partly Cloudy,74
2025-03-05,27.9,0.0,Cloudy,86
2025-03-06,28.1,0.0,Partly Cloudy,76
2025-03-07,28.4,0.0,Partly Cloudy,83
2025-03-08,26.5,11.6,Cloudy,85
2025-03-09,27.2,9.3,Rainy,83
2025-03-10,25.1,20.8,Rainy,84
2025-03-11,25.4,40.2,Rainy,85
2025-03-12,28.4,0.0,Partly Cloudy,85
2025-03-13,30.1,0.0,Sunny,77
2025-03-14,28.2,0.0,Partly Cloudy,85
2025-03-15,26.4,39.1,Rainy,88
2025-03-16,29.1,0.0,Sunny,80
2025-03-17,26.4,34.9,Rainy,84
2025-03-18,28.4,0.0,Sunny,74
2025-03-19,31.9,0.0,Sunny,87
2025-03-20,28.7,32.6,Rainy,81
2025-03-21,26.4,6.2,Rainy,83
2025-03-22,26.4,6.4,Cloudy,81
2025-03-23,26.3,26.5,Rainy,90
2025-03-24,25.6,25.7,Rainy,87
2025-03-25,28.1,0.0,Sunny,78
2025-03-26,28.8,0.0,Sunny,78
2025-03-27,28.9,0.0,Sunny,71
2025-03-28,28.6,14.4,Rainy,85
2025-03-29,26.9,0.0,Partly Cloudy,80
2025-03-30,26.4,12.6,Cloudy,80
2025-03-31,26.4,0.0,Cloudy,73
2025-04-01,26.5,8.4,Rainy,81
2025-04-02,28.9,0.0,Partly Cloudy,82
2025-04-03,30.4,0.0,Sunny,70
2025-04-04,30.9,0.0,Partly Cloudy,86
2025-04-05,30.4,9.9,Rainy,98
2025-04-06,28.6,7.9,Rainy,90
2025-04-07,27.1,9.0,Rainy,95
2025-04-08,27.1,0.0,Cloudy,92
2025-04-09,28.6,0.0,Partly Cloudy,81
2025-04-10,28.6,10.9,Rainy,98
2025-04-11,28.2,7.0,Rainy,97
2025-04-12,29.2,0.0,Cloudy,86
2025-04-13,28.1,14.8,Rainy,91
2025-04-14,30.9,0.0,Partly Cloudy,87
2025-04-15,27.8,25.2,Rainy,95
2025-04-16,29.0,3.4,Cloudy,86
2025-04-17,28.0,20.9,Rainy,90
2025-04-18,27.4,13.4,Rainy,87
2025-04-19,26.0,32.8,Rainy,85
2025-04-20,27.9,0.0,Cloudy,92
2025-04-21,29.2,0.0,Partly Cloudy,87
2025-04-22,29.6,0.0,Cloudy,82
2025-04-23,29.1,5.4,Partly Cloudy,81
2025-04-24,29.7,7.9,Cloudy,88
2025-04-25,27.8,11.8,Cloudy,79
2025-04-26,29.4,0.0,Sunny,82
2025-04-27,30.4,0.0,Partly Cloudy,80
2025-04-28,30.6,0.0,Partly Cloudy,85
2025-04-29,29.8,3.3,Rainy,93
2025-04-30,27.3,5.1,Rainy,92
