date,sku,openingStock,receivedQty,soldQty,discardedQty,closingStock,orderPlacedQty,supplierLeadTimeDays,oldestReceiptDate,newestReceiptDate,estimatedOldStockQty,oldestAgeDays,oldStockShare,ageRiskRatio,avgDailySales7d,avgDailySales30d,salesStdDev,demandTrend,daysOfStockRemaining,stockoutRisk,reorderUrgency,expiryRiskScore,daysToExpiry,nearExpiryFlag
2023-01-01,LK-RIC-XAJI0,121,23,21,0,123,23,3,2022-12-28,2023-01-01,8,4,0.065,0.01,22.57,22.67,9.87,-0.004,5.4,0.4,Medium,0.02,379,False
2023-01-01,LK-RIC-ZMF8M,87,0,12,0,75,23,2,2022-12-27,2022-12-31,6,5,0.08,0.009,10.71,9.7,6.06,0.105,7.7,0.4,Low,0.02,562,False
2023-01-01,LK-RIC-ZBIKC,78,11,19,0,70,11,4,2022-12-27,2023-01-01,4,5,0.057,0.02,9.71,10.13,6.12,-0.041,6.9,0.4,Medium,0.02,248,False
2023-01-01,LK-RIC-UY41I,29,0,11,0,18,14,2,2022-12-22,2022-12-26,4,10,0.222,0.015,4.29,3.27,2.11,0.312,5.5,0.4,Medium,0.02,639,False
2023-01-01,LK-RIC-6OH9S,79,0,14,0,65,23,3,2022-12-27,2022-12-29,19,5,0.292,0.007,9.57,8.4,4.87,0.139,7.7,0.4,Low,0.02,716,False
2023-01-01,LK-RIC-MKFAZ,62,0,12,0,50,30,2,2022-12-26,2022-12-31,21,6,0.42,0.008,6.86,5.23,2.39,0.31,9.6,0.4,Low,0.02,717,False
2023-01-01,LK-RIC-C58DR,0,24,24,0,0,24,3,,,0,0,0.0,0.0,17.14,14.33,6.56,0.196,0.0,1.0,Critical,0.02,396,False
2023-01-01,LK-RIC-EIMVI,56,23,14,0,65,23,4,2022-12-27,2023-01-01,19,5,0.292,0.007,9.71,7.27,5.1,0.337,8.9,0.4,Low,0.02,672,False
2023-01-01,LK-RIC-3GDPP,43,0,7,0,36,28,2,2022-12-25,2022-12-26,9,7,0.25,0.011,4.0,3.97,1.78,0.008,9.1,0.4,Low,0.02,605,False
2023-01-01,LK-RIC-B9487,52,0,14,0,38,30,3,2022-12-21,2022-12-30,8,11,0.211,0.024,6.57,4.77,2.8,0.379,8.0,0.4,Low,0.02,440,False
2023-01-01,LK-RIC-RGHC0,1,16,10,0,7,8,3,2023-01-01,2023-01-01,7,0,1.0,0.0,9.29,9.33,4.69,-0.005,0.8,0.9,Critical,0.02,370,False
2023-01-01,LK-RIC-BCXUL,119,0,10,0,109,20,2,2022-12-23,2022-12-31,9,9,0.083,0.035,9.57,12.03,6.97,-0.205,9.1,0.4,Low,0.02,245,False
2023-01-01,LK-RIC-5NF4Z,81,0,8,0,73,15,2,2022-12-27,2022-12-30,13,5,0.178,0.015,5.71,8.1,8.43,-0.295,9.0,0.4,Low,0.02,334,False
2023-01-01,LK-RIC-R64DP,0,10,6,0,4,10,2,2023-01-01,2023-01-01,4,0,1.0,0.0,12.14,11.93,7.32,0.018,0.3,0.9,Critical,0.02,294,False
2023-01-01,LK-RIC-L6246,9,0,8,0,1,6,3,2022-12-31,2022-12-31,1,1,1.0,0.003,8.14,6.57,4.74,0.24,0.2,0.9,Critical,0.02,360,False
2023-01-01,LK-RIC-3J2D5,71,0,15,0,56,14,3,2022-12-26,2022-12-30,14,6,0.25,0.013,10.0,9.8,6.72,0.02,5.7,0.4,Medium,0.02,459,False
2023-01-01,LK-RIC-7E8G8,0,14,12,0,2,7,3,2023-01-01,2023-01-01,2,0,1.0,0.0,8.86,8.7,8.02,0.018,0.2,0.9,Critical,0.02,374,False
2023-01-01,LK-RIC-0HP87,102,0,11,0,91,18,2,2022-12-22,2022-12-31,1,10,0.011,0.027,12.71,11.33,5.59,0.122,8.0,0.4,Low,0.02,366,False
2023-01-01,LK-RIC-KPUXQ,52,0,0,0,52,0,0,2022-12-26,2022-12-31,7,6,0.135,0.014,5.14,5.37,3.21,-0.042,9.7,0.4,Low,0.02,414,False
2023-01-01,LK-RIC-4COWG,7,0,7,0,0,7,3,,,0,0,0.0,0.0,9.0,8.13,4.93,0.107,0.0,1.0,Critical,0.02,710,False
2023-01-01,LK-RIC-TUL1P,37,0,15,0,22,13,3,2022-12-25,2022-12-30,9,7,0.409,0.01,11.86,8.03,7.01,0.476,2.7,0.7,High,0.02,706,False
2023-01-01,LK-RIC-6CFNF,67,0,13,0,54,36,2,2022-12-23,2022-12-30,3,9,0.056,0.045,6.0,5.83,4.78,0.029,9.3,0.4,Low,0.02,191,False
2023-01-01,LK-RIC-0TVHH,103,24,7,0,120,24,3,2022-12-27,2023-01-01,24,5,0.2,0.009,12.43,13.4,10.23,-0.072,9.0,0.4,Low,0.02,578,False
2023-01-01,LK-RIC-JLQM5,56,0,12,0,44,13,3,2022-12-28,2022-12-31,5,4,0.114,0.018,9.57,7.6,3.83,0.259,5.8,0.4,Medium,0.02,217,False
2023-01-01,LK-RIC-E8QJN,0,12,12,0,0,12,3,,,0,0,0.0,0.0,11.29,11.8,5.29,-0.044,0.0,1.0,Critical,0.02,564,False
2023-01-01,LK-RIC-4VE92,124,20,0,0,144,0,0,2022-12-25,2023-01-01,4,7,0.028,0.013,13.86,15.8,5.04,-0.123,9.1,0.4,Low,0.02,543,False
2023-01-01,LK-RIC-3TRP0,45,0,23,0,22,16,2,2022-12-30,2022-12-31,6,2,0.273,0.01,19.86,16.9,11.33,0.175,1.3,0.9,Critical,0.02,207,False
2023-01-01,LK-RIC-ZJA8D,53,0,12,0,41,24,2,2022-12-26,2022-12-31,17,6,0.415,0.014,11.71,9.03,5.71,0.297,4.5,0.7,High,0.02,423,False
2023-01-01,LK-RIC-LZJJE,47,15,15,0,47,15,3,2022-12-25,2023-01-01,2,7,0.043,0.01,7.86,5.93,3.42,0.324,7.9,0.4,Low,0.02,710,False
2023-01-01,LK-RIC-ZEBBK,7,9,11,0,5,9,2,2023-01-01,2023-01-01,5,0,1.0,0.0,9.43,8.87,6.68,0.063,0.6,0.9,Critical,0.02,438,False
2023-01-01,LK-RIC-FUK9E,52,0,8,0,44,0,0,2022-12-26,2022-12-31,20,6,0.455,0.01,4.57,3.97,2.18,0.152,11.1,0.2,Low,0.02,613,False
2023-01-01,LK-RIC-HXFGC,42,0,8,0,34,13,3,2022-12-26,2022-12-30,8,6,0.235,0.009,4.86,4.57,2.85,0.064,7.4,0.4,Medium,0.02,638,False
2023-01-01,LK-RIC-EIFJF,68,23,5,0,86,23,2,2022-12-27,2023-01-01,17,5,0.198,0.011,10.71,10.03,7.14,0.068,8.6,0.4,Low,0.02,453,False
2023-01-01,LK-RIC-VAIY4,81,0,9,0,72,21,3,2022-12-21,2022-12-26,9,11,0.125,0.018,4.0,6.87,4.2,-0.417,10.5,0.2,Low,0.02,615,False
2023-01-01,LK-RIC-LYK83,90,23,15,0,98,23,2,2022-12-27,2023-01-01,6,5,0.061,0.028,11.14,10.1,6.87,0.103,9.7,0.4,Low,0.02,176,False
2023-01-01,LK-RIC-PBJEK,32,9,18,0,23,9,3,2022-12-30,2023-01-01,5,2,0.217,0.007,8.86,6.87,4.65,0.29,3.3,0.7,High,0.02,294,False
2023-01-01,LK-RIC-49ITN,96,0,9,0,87,24,2,2022-12-26,2022-12-31,15,6,0.172,0.012,10.0,10.37,6.76,-0.035,8.4,0.4,Low,0.02,479,False
2023-01-01,LK-RIC-1N759,0,11,0,1,10,7,3,2023-01-01,2023-01-01,10,0,1.0,0.0,6.0,7.37,5.62,-0.186,1.4,0.9,Critical,0.02,335,False
2023-01-01,LK-RIC-SQ0OX,84,0,16,0,68,21,2,2022-12-25,2022-12-28,5,7,0.074,0.012,7.57,9.07,5.67,-0.165,7.5,0.4,Low,0.02,562,False
2023-01-01,LK-RIC-0PDW5,92,48,14,0,126,0,0,2022-12-24,2023-01-01,6,8,0.048,0.011,12.0,13.53,6.58,-0.113,9.3,0.4,Low,0.02,715,False
2023-01-01,LK-RIC-I6FQJ,38,0,17,0,21,14,3,2022-12-28,2022-12-29,7,4,0.333,0.007,8.43,6.23,4.09,0.352,3.4,0.7,High,0.02,610,False
2023-01-01,LK-RIC-IUU9K,38,0,6,0,32,14,3,2022-12-23,2022-12-28,4,9,0.125,0.024,3.14,3.23,2.22,-0.028,9.9,0.4,Low,0.02,365,False
2023-01-01,LK-RIC-BNE6L,78,16,17,0,77,16,2,2022-12-23,2023-01-01,13,9,0.169,0.013,11.57,9.53,5.44,0.214,8.1,0.4,Low,0.02,664,False
2023-01-01,LK-RIC-0982N,63,13,12,0,64,13,3,2022-12-28,2023-01-01,12,4,0.188,0.007,10.71,9.4,5.75,0.14,6.8,0.4,Medium,0.02,556,False
